"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C48,C47,C46,C45,C8,C6";"C_0603_1608Metric";6;"47u";;;
2;"R3,R6,R4,R5";"R_0402_1005Metric";4;"10k";;;
3;"J4,J3";"PinSocket_1x10_P2.54mm_Vertical_SMD_Pin1Left";2;"Conn_01x10_Socket";;;
4;"D3";"LED_0603_1608Metric";1;"DONE";;;
5;"R7,R9";"R_0402_1005Metric";2;"1k";;;
6;"L4,L3,L1,L2";"INDPM3030X150N";4;"1u5";;;
7;"TP2";"TestPoint_Pad_2.0x2.0mm";1;"1V";;;
8;"D4";"LED_0603_1608Metric";1;"INIT_B";;;
9;"R2,R1";"R_0402_1005Metric";2;"4k7";;;
10;"TP1";"TestPoint_Pad_2.0x2.0mm";1;"GND";;;
11;"Q4,Q1,Q2,Q3";"SOT-23-3";4;"2N7000";;;
12;"C14,C9";"C_0603_1608Metric";2;"100u";;;
13;"D2";"LED_0603_1608Metric";1;"PG";;;
14;"TP3";"TestPoint_Pad_2.0x2.0mm";1;"1.2V";;;
15;"D1";"LED_0603_1608Metric";1;"Test-LED";;;
16;"R8";"R_0402_1005Metric";1;"5k";;;
17;"TP5";"TestPoint_Pad_2.0x2.0mm";1;"3.3V";;;
18;"TP4";"TestPoint_Pad_2.0x2.0mm";1;"1.8V";;;
19;"U2";"SOT-23";1;"REF3012";;;
20;"U1";"Xilinx_FTG256";1;"XC7A15T-FTG256";;;
21;"X1";"Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm";1;"ECS-2520MV-160-CN-TR";;;
22;"IC1";"QFN50P500X500X80-29N";1;"MAX20029ATIF_V+";;;
23;"J1";"87832-1420";1;"Conn_02x07_Odd_Even";;;
24;"J10";"PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"Conn_01x03_Socket";;;
25;"C30,C38,C49,C16,C25,C29,C24,C23,C3,C1,C15,C26,C35,C18,C36,C37,C17,C27,C13,C2,C12,C28,C7";"C_0402_1005Metric";23;"470n";;;
26;"C22,C32,C11,C10,C41,C39,C19,C20,C5,C21,C40,C34,C4,C31,C33,C43,C42";"C_0402_1005Metric";17;"4u7";;;
27;"C44";"C_0402_1005Metric";1;"75p";;;
